Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
643012;34;74,658;75,138;21,667;19,934;73,875;74,047;73,984;19,941;19,075;19,044;-0,083;-0,103;-0,11
643013;39;70,55;70,879;19,539;18,248;69,885;70,006;69,891;18,084;17,595;17,54;-0,078;-0,089;-0,102
644003;49;72,648;72,914;19,848;18,722;72,002;72,246;72,059;18,439;18,244;18,159;-0,074;-0,067;-0,088
644007;49;71,414;71,674;15,507;14,425;70,853;70,948;70,887;14,271;13,862;13,833;-0,083;-0,095;-0,104
644012;51;67,425;67,277;17,604;18,55;68,01;67,951;67,339;18,709;18,825;18,562;0,07;0,065;0,007
644015;46;78,073;78,201;17,142;16,907;78,094;78,05;77,738;17,185;16,819;16,696;0,003;-0,016;-0,052
644018;15;63,613;63,661;14,911;16,318;65,55;66,609;63,587;17,963;17,383;16,357;0,255;0,337;-0,011
645002;36;74,26;74,57;22,332;21,687;74,58;74,682;73,885;22,962;21,764;21,31;0,031;0,01;-0,062
645003;34;67,194;67,355;16,861;17,101;67,542;68,142;67,252;17,535;17,47;17,088;0,044;0,086;-0,012
645004;36;40,134;39,664;33,3;34,261;43,235;48,305;38,661;38,524;41,771;33,531;0,187;0,438;-0,057
646005;35;80,548;81,148;26,122;23,4;78,91;79,259;79,487;22,261;21,779;21,877;-0,151;-0,158;-0,135
646006;30;85,412;85,908;29,056;28,052;85,583;86,233;85,005;29,4;28,272;27,598;0,013;0,021;-0,064
647000;40;85,396;85,531;19,93;20,18;86,216;86,51;85,402;21,456;20,733;20,141;0,086;0,089;-0,013
647001;37;75,875;76,166;19,096;18,307;76,01;75,965;75,431;19,367;18,156;17,828;0,015;-0,02;-0,078
648000;38;82,537;82,768;18,346;17,593;82,629;82,454;81,984;18,53;17,344;17,031;0,011;-0,033;-0,086
648001;32;77,512;76,685;25,993;31,109;79,223;79,031;77,541;29,027;30,987;30,62;0,135;0,139;0,059
648002;27;82,761;83,132;19,669;18,438;81,842;82,389;82,209;17,591;17,969;17,923;-0,109;-0,073;-0,093
649000;30;83,936;84,201;24,036;23,337;82,927;84,075;83,508;21,781;23,273;23,124;-0,098;-0,01;-0,06
649001;34;84,448;84,565;19,096;19,187;84,562;84,928;84,235;19,323;19,365;19,104;0,013;0,035;-0,035
649002;29;70,75;71,277;23,571;21,135;69,431;69,338;69,613;20,516;19,465;19,586;-0,133;-0,167;-0,138
649003;29;89,699;89,506;12,152;13,302;89,615;90,051;89,508;11,979;13,396;13,301;-0,015;0,076;0
650001;24;70,623;70,32;34,61;38,325;73,657;74,3;70,684;39,774;39,385;38,21;0,177;0,191;0,021
650002;20;77,541;78,357;24,478;21,674;76,049;76,694;76,921;20,977;20,281;20,397;-0,146;-0,148;-0,125
651002;20;87,268;87,522;17,96;17,473;88,499;88,88;86,746;20,133;18,622;16,928;0,14;0,14;-0,087
655001;28;70,102;70,344;20,662;20,285;70,518;70,509;69,675;21,47;20,394;19,955;0,043;0,015;-0,064
655002;15;79,025;79,357;24,997;25,692;78,834;80,512;78,874;24,604;26,006;25,826;-0,017;0,084;-0,042
655003;16;87,738;89,656;43,928;34,782;81,965;84,494;86,01;26,524;29,051;29,473;-0,381;-0,3;-0,177
657000;29;90,86;91,181;25,249;25,131;91,835;92,364;90,699;27,073;25,852;24,966;0,081;0,086;-0,039
658000;40;85,261;85,155;29,822;31,457;85,594;85,804;85,045;30,479;31,641;31,453;0,024;0,037;-0,007
660000;37;94,173;94,419;19,09;17,761;93,832;93,219;93,302;18,371;16,73;16,782;-0,04;-0,131;-0,121
661000;26;70,786;70,45;29,849;32,709;73,346;72,645;70,555;34,222;33,374;32,696;0,173;0,121;0,007
661001;34;57,927;57,749;22,531;24,737;58,038;59,002;58,028;22,753;24,835;24,637;0,011;0,095;0,024
662001;24;62,678;63,366;27,584;22,156;59,112;60,288;60,903;16,947;18,849;18,836;-0,371;-0,271;-0,188
664001;34;85,91;86,466;23,57;20,689;83,862;84,56;84,776;18,388;19,074;19,126;-0,219;-0,17;-0,145
668000;35;90,023;90,097;16,275;16,716;90,091;90,777;90,018;16,411;16,994;16,708;0,009;0,075;-0,01
670000;23;63,293;63,329;22,707;23,504;66,173;66,807;62,987;27,271;25,722;23,406;0,249;0,264;-0,03
734001;85;75,651;76,129;32,895;28,551;72,188;73,209;73,32;23,567;25,703;25,678;-0,279;-0,166;-0,155
734002;32;96,434;95,891;33,713;37,72;102,802;104,079;97,058;42,758;41,199;37,552;0,358;0,395;0,067
734006;31;94,43;94,239;30,791;33,624;97,769;98,591;94,871;36,261;35,259;33,538;0,216;0,237;0,04
734008;75;79,986;80,092;30,901;31,056;81,043;81,414;80,137;32,895;31,908;31,078;0,072;0,079;0,003
734036;21;82,852;83,057;24,609;25,465;84,075;84,855;82,754;26,846;26,245;25,467;0,104;0,13;-0,025
734037;20;81,839;82,732;26,916;22,746;79,527;78,047;80,294;21,084;17,393;19,126;-0,216;-0,446;-0,187
734038;15;86,083;86,526;29,123;28,658;89,652;100,439;85,339;34,822;43,108;27,942;0,241;0,84;-0,083
734040;21;84,021;82,086;20,852;30,724;89,051;88,351;83,634;27,374;28,229;28,02;0,447;0,403;0,133
734041;15;83,402;83,718;28,363;29,942;86,726;89,052;83,349;33,724;32,455;30,019;0,232;0,327;-0,028
734043;16;85,007;86,523;36,63;31,675;83,004;82,076;84,049;32,01;27,339;28,833;-0,13;-0,282;-0,142
735002;98;46,279;45,426;18,593;23,143;48,618;47,62;46,815;22,307;23,097;22,563;0,247;0,147;0,118
735006;86;65,089;65,15;23,719;23,816;64,901;65,375;64,992;23,331;23,926;23,757;-0,018;0,017;-0,013
735009;82;48,327;48,536;17,518;16,392;47,427;47,681;47,645;15,457;15,789;15,778;-0,121;-0,096;-0,1
735015;96;51,357;51,47;20,509;20,178;51,863;51,626;51,128;21,483;20,291;19,961;0,053;0,014;-0,032
735017;99;45,561;45,711;16,372;15,497;44,965;44,997;44,942;15,058;14,993;14,971;-0,084;-0,085;-0,093
735018;50;55,64;55,802;18,274;17,989;56,131;56,177;55,443;19,215;18,248;17,798;0,057;0,039;-0,039
735019;59;65,614;65,335;18,58;20,807;67,098;67,536;66,301;21,144;21,382;20,7;0,162;0,197;0,096
735026;84;47,673;47,634;16,05;16,163;47,934;47,296;47,171;16,561;15,97;15,93;0,035;-0,036;-0,051
735029;49;41,927;42,196;17,147;15,874;41,048;41,393;41,336;15,136;15,283;15,26;-0,121;-0,097;-0,105
735030;94;59,746;60,115;24,562;21,864;57,838;57,772;57,981;19,869;19,688;19,757;-0,192;-0,195;-0,172
735033;73;55,168;55,41;17,939;16,925;54,858;54,667;54,54;17,287;16,336;16,262;-0,039;-0,083;-0,098
735035;52;59,386;59,631;23,279;22,436;58,932;59,212;58,86;22,318;22,165;22,009;-0,044;-0,035;-0,066
735036;46;74,31;75,255;38,45;31,532;69,781;69,46;70,946;25,632;24,763;25,487;-0,324;-0,351;-0,223
735050;49;71,441;71,728;24,449;23,48;71,18;71,296;70,851;23,908;23,178;22,942;-0,024;-0,034;-0,072
735066;47;70,618;71,071;25,015;23,107;69,863;69,575;69,626;23,375;21,846;21,876;-0,069;-0,124;-0,119
735067;49;52,922;53,11;18,728;18,362;52,843;53,305;52,772;18,566;18,48;18,22;-0,009;0,02;-0,037
735100;43;52,961;53,222;19,41;18,52;51,724;52,829;52,621;16,484;18,336;18,314;-0,154;-0,04;-0,064
735124;46;41,892;42,084;20,149;19,721;41,948;42,005;41,532;20,263;19,671;19,436;0,006;-0,007;-0,054
735157;32;65,949;66,533;25,951;23,531;64,448;65,033;65,073;22,46;22,358;22,375;-0,138;-0,122;-0,118
735158;33;39,12;39,553;18,834;16,376;37,419;37,918;38,178;14,485;14,949;15,019;-0,23;-0,192;-0,154
735159;34;44,347;44,547;13,615;13,15;44,43;44,69;44,137;13,78;13,251;12,932;0,013;0,02;-0,062
735160;24;44,525;44,708;13,31;13,223;45,397;45,742;44,39;14,857;13,933;13,099;0,135;0,143;-0,049
735161;17;49,799;50,666;20,506;16,843;47,578;48,047;49,033;14,457;14,107;14,664;-0,289;-0,315;-0,168
735162;23;52,701;53,1;21,188;20,607;53,086;53,898;52,494;21,938;21,141;20,368;0,039;0,072;-0,06
735163;19;53,155;53,199;11,348;12,107;54,791;56,794;53,16;13,862;14,41;12,114;0,28;0,542;-0,007
735164;23;44,759;45,14;15,792;14,488;44,16;44,474;44,353;14,467;13,991;13,937;-0,088;-0,088;-0,105
735165;25;45,089;45,435;17,482;15,882;43,882;44,492;44,473;14,584;15,244;15,24;-0,168;-0,11;-0,113
735175;24;49,629;49,684;16,602;17,478;51,677;53,257;49,671;19,867;19,617;17,478;0,243;0,372;-0,002
735176;23;53,868;54,298;19,188;18,061;53,435;53,954;53,526;18,264;17,829;17,65;-0,051;-0,036;-0,085
735177;19;42,696;42,439;15,59;18,458;45,5;46,221;42,803;19,637;19,001;18,132;0,343;0,389;0,048
735178;19;53,181;53,808;20,895;18,403;52,23;51,054;52,309;18,752;15,681;16,64;-0,106;-0,304;-0,149
735179;21;44,756;45,09;19,842;19,463;45,011;45,409;44,491;20,344;19,644;19,272;0,028;0,03;-0,062
735181;22;56,852;56,854;15,171;16,035;57,976;57,933;56,718;17,134;16,463;16,039;0,151;0,122;-0,018
735182;18;45,71;46,197;15,488;14,208;45,397;45,665;45,425;14,824;13,792;13,65;-0,046;-0,07;-0,104
735188;18;48,799;49,24;17,077;15,858;48,25;48,728;48,453;15,881;15,51;15,407;-0,073;-0,06;-0,096
735189;25;50,536;51,145;20,61;17,567;48,361;49,371;49,632;14,748;16,018;16,056;-0,279;-0,187;-0,15
735190;23;67,859;67,997;18,751;19,343;68,931;69,135;67,756;20,684;19,862;19,324;0,118;0,107;-0,026
735191;22;56,201;56,594;20,378;19,809;56,022;56,941;55,98;20,009;20,014;19,595;-0,019;0,032;-0,063
735196;22;67,32;67,795;22,613;21,846;67,674;68,126;67,043;23,308;22,066;21,513;0,034;0,028;-0,069
735201;23;56,05;56,618;19,227;17,286;55,278;55,227;55,441;17,51;16,089;16,219;-0,093;-0,153;-0,126
735202;22;63,725;63,384;19,558;21,978;64,722;65,439;63,493;21,378;22,421;21,934;0,106;0,175;0,011
735203;24;80,467;81,096;29,848;27,864;79,727;80,331;79,789;28,261;27,31;27,048;-0,056;-0,052;-0,093
735205;22;56,991;57,87;27,586;23,119;54,254;54,488;55,579;20,373;19,74;20,299;-0,258;-0,286;-0,171
735206;16;39,011;39,533;15,28;13,764;38,109;38,96;38,803;13,172;13,355;13,295;-0,141;-0,08;-0,105
736000;34;65,161;65,473;27,053;26,815;66,348;66,978;64,984;29,25;27,837;26,607;0,092;0,103;-0,037
736013;49;43,395;43,405;19,964;20,348;44,737;44,463;43,331;22,337;21,018;20,316;0,138;0,094;-0,007
736017;51;63,075;63,144;29,43;30,126;64,918;65,606;63,36;32,718;31,637;30,201;0,129;0,15;0,014
736020;78;47,479;47,549;22,005;22,071;47,77;47,908;47,405;22,579;22,28;22,006;0,029;0,03;-0,013
736021;52;62,084;62,279;28,683;28,509;62,103;62,76;61,891;28,721;28,782;28,356;0,001;0,031;-0,027
736022;79;38,453;38,547;25,309;24,737;38,634;37,792;37,586;25,668;24,215;24,118;0,015;-0,055;-0,071
736025;53;53,645;54,034;25,238;23,518;52,606;52,814;52,739;22,922;22,623;22,595;-0,095;-0,096;-0,103
736040;32;48,657;48,454;19,201;21,036;50,186;50,43;48,773;21,842;21,706;21,002;0,162;0,172;0,032
736041;36;41,228;41,778;21,126;18,523;39,789;39,345;40,065;17,683;16,159;16,595;-0,165;-0,261;-0,169
736042;32;53,669;53,995;17,52;16,299;52,893;53,236;53,121;15,778;15,771;15,729;-0,103;-0,086;-0,101
736043;25;65,407;65,92;26,675;26,017;66,027;66,669;65,204;27,872;26,488;25,742;0,05;0,053;-0,056
736044;25;55,131;55,193;30,423;30,426;54,601;55,027;54,206;29,305;30,342;30,104;-0,039;-0,01;-0,064
736053;19;67,526;68,803;38,562;35,03;66,891;66,704;66,683;37,229;33,211;33,196;-0,037;-0,114;-0,115
736054;24;53,005;53,767;36,186;34,529;53,944;54,335;52,325;37,988;34,976;33,607;0,055;0,03;-0,082
736055;19;44,256;44,885;25,763;22,602;42,053;42,836;43,171;20,212;20,935;21,042;-0,215;-0,17;-0,136
736059;21;51,269;51,676;25,479;23,892;50,837;50,378;50,25;24,569;22,932;22,876;-0,038;-0,097;-0,108
736060;18;41,514;42,012;17,974;16,759;41,29;41,767;41,203;17,507;16,574;16,242;-0,028;-0,027;-0,095
736061;22;41,497;42,19;21,101;18,453;39,849;40,539;40,824;17,041;17,051;17,176;-0,194;-0,17;-0,135
736066;25;40,808;41,397;26,583;24,996;40,938;40,741;40,092;26,845;24,453;23,995;0,011;-0,049;-0,1
736067;25;39,808;40,481;25,426;22,75;38,836;37,422;38,642;23,276;19,783;20,706;-0,088;-0,268;-0,149
736068;25;57,56;56,869;24,469;28,472;59,603;58,784;57,197;27,974;28,622;28,326;0,169;0,122;0,025
736069;25;55,825;56,117;31,577;31,642;58,558;59,803;55,419;36,239;34,32;31,369;0,175;0,212;-0,045
736071;25;62,118;62,338;18,978;18,952;62,679;62,657;61,883;20,047;19,117;18,833;0,063;0,031;-0,048
736072;25;38,805;39,439;19,089;16,172;37,091;36,871;37,801;14,712;13,487;14,055;-0,228;-0,322;-0,179
736073;25;72,089;71,85;40,809;44,394;78,514;78,793;72,259;50,452;47,373;44,358;0,304;0,284;0,02
736074;25;50,932;51,626;32,508;29,714;50,41;47,481;49,355;31,411;25,757;27,302;-0,036;-0,276;-0,141
736075;24;44,364;44,602;21,192;21,6;45,742;46,649;44,365;23,639;22,735;21,571;0,134;0,174;-0,023
736076;23;68,301;67,916;26,798;30,137;72,495;70,956;68,214;33,102;30,88;30,036;0,302;0,184;0,022
736077;25;59,251;59,12;26,758;28,433;61,616;60,648;58,895;30,779;29,072;28,416;0,178;0,096;-0,016
736078;25;64,807;65,059;27,985;28,118;67,374;69,554;64,486;32,322;31,536;27,896;0,185;0,288;-0,042
737004;51;71,721;71,812;21,639;22,257;72,365;73,159;72,021;22,865;22,898;22,293;0,063;0,113;0,019
737006;107;69,297;69,226;21,663;22,486;69,414;69,791;69,464;21,898;22,699;22,547;0,012;0,046;0,02
737016;52;67,547;67,64;17,227;17,337;68,12;68,287;67,532;18,312;17,72;17,293;0,07;0,068;-0,012
737017;84;60,943;60,932;21,562;22,043;62,361;62,604;61,355;24,077;23,135;22,244;0,135;0,138;0,037
737022;78;63,972;63,798;18,014;19,549;64,903;65,031;64,456;19,711;19,917;19,6;0,107;0,116;0,067
737023;92;55,541;55,401;20,234;21,56;56,389;56,552;56,011;21,81;21,973;21,673;0,088;0,098;0,055
737027;93;66,348;65,702;14,833;18,254;68,244;67,585;67,089;17,833;18,224;17,885;0,251;0,191;0,152
737052;24;75,889;76,41;27,153;25,763;74,169;75,98;75,474;23,09;25,552;25,478;-0,153;-0,031;-0,073
737053;25;64,676;64,773;23,479;23,822;67,261;67,945;64,246;27,701;26,119;23,585;0,219;0,238;-0,045
737055;25;63,676;64,714;33,027;26,852;59,688;60,045;61,495;21,599;21,558;22,228;-0,336;-0,347;-0,199
737056;16;68,962;69,414;25,782;23,741;66,345;68,297;68,131;18,826;23,214;23,251;-0,266;-0,084;-0,1
737059;23;62,229;62,263;19,911;20,826;63,109;63,257;62,018;21,539;21,223;20,819;0,093;0,086;-0,024
737060;21;69,482;69,665;31,967;33,682;72,848;74,381;69,508;37,512;35,958;33,693;0,21;0,256;-0,01
737061;24;67,334;67,716;29,126;28,688;68,732;69,516;66,892;31,693;29,991;28,32;0,1;0,115;-0,059
737062;25;66,498;66,334;17,951;19,911;69,395;69,773;66,647;22,269;21,185;19,837;0,31;0,316;0,035
737063;23;68,823;69,118;26,151;26,369;69,949;70,658;68,638;28,238;27,197;26,284;0,09;0,108;-0,038
737065;25;73,182;73,776;23,19;21,14;72,202;72,586;72,535;21;20,201;20,175;-0,098;-0,107;-0,113
737066;25;75,448;75,715;22,036;22,363;76,882;77,543;75,453;24,582;23,381;22,32;0,134;0,15;-0,025
737067;25;72,026;72,423;26,967;26,448;73,536;74,028;71,601;29,695;27,632;26,025;0,116;0,111;-0,062
737068;25;71,534;71,899;25,187;24,537;72,926;73,564;71,024;27,707;25,877;24,014;0,115;0,124;-0,071
737069;25;65,851;65,415;15,872;18,937;68,812;69,132;66,043;20,095;19,552;18,537;0,354;0,366;0,077
737070;25;71,373;71,512;21,53;22,303;72,925;73,252;71,342;24,251;23,136;22,288;0,147;0,142;-0,016
737071;25;61,881;62,145;18,057;18,092;62,603;63,178;61,856;19,402;18,658;18,037;0,084;0,105;-0,033
737072;21;61,035;61,766;28,327;22,58;57,231;56,601;58,403;16,68;14,944;15,904;-0,394;-0,545;-0,246
737073;25;61,6;62,213;23,527;21,328;61,01;59,43;60,607;22,263;18,693;19,648;-0,057;-0,257;-0,139
737074;25;71,409;72,21;23,802;19,685;68,783;69,344;70,139;16,593;16,702;17,025;-0,296;-0,286;-0,181
737075;25;74,56;74,691;25,232;26,34;77,363;79,223;74,634;29,802;29,005;26,336;0,22;0,313;-0,005
737076;25;77,225;76,957;25,597;28,969;81,199;82,428;77,608;31,584;30,641;28,66;0,3;0,352;0,052
738001;53;65,917;66,209;21,804;20,782;65,171;65,737;65,463;20,169;20,482;20,373;-0,079;-0,043;-0,07
738006;102;69,131;69,449;24,908;22,662;67,227;67,897;67,925;20,241;21,493;21,498;-0,189;-0,13;-0,127
738007;65;64,976;65,058;18,726;18,608;64,215;64,906;64,716;17,033;18,553;18,526;-0,094;-0,015;-0,035
738008;98;69,551;69,773;21,014;19,908;68,808;68,987;68,887;19,38;19,349;19,305;-0,081;-0,074;-0,084
738012;48;77,371;77,476;20,927;21,238;78,093;78,39;77,423;22,289;21,74;21,221;0,073;0,079;-0,005
738015;73;69,658;69,811;21,31;20,861;70,217;70,103;69,38;22,383;21,082;20,582;0,056;0,026;-0,04
738017;88;74,228;74,077;24,037;24,955;74,923;74,43;74,071;25,362;25,11;24,954;0,061;0,025;0
738020;100;65,211;65,213;23,133;23,616;65,085;65,122;64,97;22,874;23,584;23,553;-0,012;-0,007;-0,019
738022;73;70,156;70,248;21,944;21,909;70,291;70,34;69,948;22,214;21,96;21,773;0,013;0,008;-0,026
738025;74;69,605;69,079;24,633;28,518;70,529;70,937;70,271;26,366;28,433;28,139;0,079;0,123;0,085
738049;28;70,091;69,961;20,855;23,359;70,802;71,79;70,365;22,198;23,472;23,137;0,072;0,148;0,039
738050;17;74,389;74,58;21,492;22,292;77,569;79,746;74,197;26,345;25,517;22,245;0,287;0,415;-0,037
738051;16;83,489;84,107;21,458;20,442;83,581;84,549;83,335;21,641;20,727;20,141;0,009;0,04;-0,077
738052;17;69,869;70,543;19,029;16,948;68,811;69,459;69,495;16,581;16,089;16,107;-0,132;-0,122;-0,117
738057;15;76,563;77,55;27,634;24,59;76,014;74,925;75,874;26,472;22,157;22,886;-0,045;-0,21;-0,128
738058;15;59,667;60,31;27,615;27,266;61,888;62,57;59,492;31,446;28,666;27,056;0,163;0,15;-0,063
738060;45;71,682;71,78;20,62;20,965;72,795;73,396;71,799;22,641;21,956;20,971;0,112;0,142;0,002
738062;42;71,381;71,563;17,645;17,205;71,983;72,045;71,06;18,781;17,58;16,891;0,072;0,052;-0,058
738068;23;67,609;67,95;16,005;15,155;67,811;67,733;67,211;16,403;14,981;14,63;0,027;-0,026;-0,094
738069;23;81,327;81,877;26,053;23,29;80,601;76,6;79,714;24,488;17,778;20,504;-0,063;-0,486;-0,168
738070;25;85,036;85,083;20,553;22,031;86,691;87,672;85,226;23,407;23;22;0,163;0,218;0,014
738071;23;74,4;75,21;30,039;27,658;73,664;74,025;73,703;28,463;26,72;26,534;-0,055;-0,081;-0,105
738073;15;72,59;73,741;34,539;31,651;73,064;72,734;71,973;35,473;30,784;30,221;0,03;-0,06;-0,108
738074;23;73,564;73,95;20,685;20,159;73,149;74,158;73,409;19,804;20,263;20,044;-0,045;0,019;-0,055
738075;23;74,498;75,376;27,429;23,096;71,606;72,647;73,239;19,633;20,508;20,683;-0,279;-0,225;-0,161
738077;23;77,717;77,674;16,519;17,677;77,78;78,511;77,59;16,645;17,849;17,7;0,008;0,088;-0,01
738078;17;63,258;63,615;17,468;16,257;62,194;62,898;62,731;14,971;15,809;15,77;-0,146;-0,079;-0,101
738079;25;67,001;67,26;15,638;15,142;67,05;67,254;66,72;15,736;15,136;14,896;0,007;-0,001;-0,07
738088;25;75,604;75,914;21,753;21,772;76,411;77,099;75,532;23,269;22,438;21,684;0,078;0,1;-0,036
738099;25;77,49;77,91;16,136;14,552;76,948;76,091;76,8;14,948;12,827;13,376;-0,077;-0,247;-0,141
739000;47;70,393;70,166;20,146;22,468;71,059;71,548;70,748;21,406;22,584;22,299;0,07;0,115;0,054
739003;44;80,183;80,275;20,166;20,427;80,526;81,072;80,146;20,837;20,856;20,388;0,037;0,072;-0,013
739004;31;74,534;74,464;19,541;20,443;77,448;80,023;74,472;23,979;24,446;20,445;0,289;0,483;0,001
739005;90;70,453;70,282;18,502;20,003;71,637;71,587;71,026;20,61;20,43;20,101;0,132;0,12;0,073
739006;107;77,115;76,512;21,597;27,596;78,24;79,558;78,759;23,646;26,252;25,746;0,108;0,227;0,181
739007;97;75,727;75,822;18,528;18,237;75,776;75,784;75,501;18,627;18,213;18,058;0,006;-0,004;-0,034
739010;97;72,343;72,229;20,033;21,023;73,073;73,005;72,592;21,404;21,351;21,129;0,077;0,067;0,033
739011;83;70,444;70,735;21,92;20,386;69,561;69,516;69,508;19,957;19,428;19,424;-0,093;-0,112;-0,113
739016;76;81,641;81,662;20,433;20,821;82,55;82,595;81,83;22,113;21,367;20,891;0,093;0,082;0,016
739035;46;75,306;75,626;21,54;20,595;75,018;75,319;74,893;20,939;20,383;20,164;-0,03;-0,028;-0,069
739038;107;63,381;63,374;18,931;19,116;63,01;63,311;63,155;18,144;19,09;19,041;-0,044;-0,006;-0,022
739047;20;62,631;62,724;15,798;16,974;64,152;65,117;62,752;18,345;17,855;16,965;0,193;0,261;0,004
739053;15;71,227;71,941;23,215;21,32;71,201;70,412;70,616;23,164;19,923;20,095;-0,002;-0,136;-0,117
739054;32;66,038;66,307;20,409;19,709;65,818;66,227;65,643;19,952;19,657;19,386;-0,024;-0,008;-0,067
739058;18;88,511;88,754;17,113;17,575;89,215;90,285;88,515;18,423;18,255;17,603;0,086;0,162;-0,03
739060;39;61,975;62,452;22,658;20,241;60,665;60,391;60,822;19,611;18,364;18,594;-0,138;-0,201;-0,152
739065;48;74,515;74,642;22,348;22,457;75,558;75,507;74,426;24,267;23,004;22,36;0,097;0,07;-0,019
740006;94;59,16;59,216;19,768;19,82;59,076;59,519;59,157;19,595;19,978;19,796;-0,009;0,029;-0,006
740008;57;55,231;55,41;21,647;21,15;54,692;55,023;54,794;20,492;20,942;20,88;-0,056;-0,033;-0,055
740009;67;58,546;58,707;20,119;19,62;58,913;58,828;58,243;20,835;19,71;19,33;0,039;0,012;-0,046
740011;53;54,879;54,879;18,757;19,396;55,226;55,547;54,936;19,432;19,682;19,408;0,04;0,063;0,006
740040;20;58,637;58,603;16,065;17,125;58,831;59,655;58,452;16,447;17,442;17,156;0,026;0,114;-0,019
740043;31;55,5;55,057;20,986;23,76;56,85;56,285;55,313;23,387;23,87;23,672;0,132;0,095;0,023
741003;52;63,005;62,923;20,425;21,724;62,719;63,38;63,011;19,827;21,767;21,71;-0,031;0,039;0,008
741009;52;70,252;70,047;23,774;25,275;71,777;71,886;70,485;26,488;26,135;25,364;0,132;0,133;0,035
742011;38;75,697;76,013;22,636;21,599;75,859;75,489;74,976;22,958;21,168;20,81;0,016;-0,045;-0,092
742012;35;68,353;68,812;20,723;18,924;67,387;67,589;67,619;18,541;17,949;17,964;-0,109;-0,122;-0,118
743009;36;77,353;77,305;16,198;17,031;79,325;79,395;77,458;19,352;18,22;17,065;0,24;0,222;0,019
744000;53;66,631;66,724;17,172;17,242;67,21;67,246;66,571;18,265;17,558;17,176;0,071;0,055;-0,017
744011;16;68,445;69,168;18,253;14,862;66,447;66,672;67,677;12,783;12,189;12,766;-0,293;-0,346;-0,173
745003;49;77,079;77,372;22,59;21,76;76,852;77,094;76,663;22,119;21,573;21,364;-0,022;-0,024;-0,063
745004;35;73,696;74,17;18,251;16,047;72,58;71,566;72,594;15,63;13,435;14,182;-0,147;-0,326;-0,177
745005;33;80,594;80,717;20,963;21,49;81,68;82,292;80,631;22,942;22,33;21,473;0,108;0,135;-0,008
746006;35;82,048;82,724;27,18;24,131;80,486;80,061;80,715;23,551;21,637;22,014;-0,137;-0,217;-0,155
746007;36;82,504;82,83;24,474;23,935;82,991;83,236;82,206;25,421;24,201;23,631;0,043;0,031;-0,052
746008;34;70,702;70,487;19,284;21,421;73,503;73,948;71,13;23,579;22,718;21,296;0,282;0,297;0,065
746009;32;73,45;73,145;18,31;21,299;74,585;75,902;73,865;20,338;21,568;20,832;0,128;0,248;0,077
747000;45;78,721;78,721;23,987;25,65;79,407;80,728;79,265;25,297;26,222;25,568;0,061;0,149;0,046
747001;45;79,453;79,369;13,763;14,251;80,464;79,86;79,253;15,53;14,543;14,202;0,15;0,061;-0,016
747009;25;78,718;78,667;16,463;17,668;81,465;82,881;78,775;20,517;20,036;17,667;0,32;0,431;0,013
748001;42;89,77;90,075;26,468;25,594;89,154;89,635;89,197;25,152;25,33;25,162;-0,053;-0,032;-0,066
748002;40;77,827;77,638;21,998;24,06;79,44;79,791;78,197;24,818;24,713;23,998;0,15;0,165;0,049
748003;32;80,379;79,873;18,763;21,866;83,277;83,433;80,689;23,134;22,739;21,578;0,298;0,299;0,082
749000;44;84,236;84,189;19,141;20,548;84,541;85,439;84,546;19,739;20,837;20,495;0,034;0,115;0,036
749001;31;82,851;82,726;18,275;20,323;84,325;85,143;83,202;20,818;20,916;20,147;0,164;0,223;0,052
749002;24;82,142;81,868;19,642;22,154;85,803;85,699;82,257;24,864;23,372;22,028;0,354;0,316;0,04
750001;24;90,059;90,107;16,422;17,145;92,006;93,166;90,003;19,554;19,011;17,129;0,234;0,322;-0,013
750002;20;84,504;84,359;14,867;16,4;86,649;85,783;84,34;18,162;16,816;16,405;0,28;0,157;-0,003
758000;31;86,786;87,179;30,632;28,817;84,453;86,24;85,962;24,916;28,354;28,351;-0,188;-0,061;-0,082
759000;32;83,846;84,141;23,643;23,393;83,719;84,439;83,659;23,383;23,54;23,267;-0,012;0,024;-0,041
760000;29;94,414;94,913;19,81;17,992;93,645;93,556;93,715;18,107;16,833;16,929;-0,09;-0,144;-0,125
760001;41;90,707;91,154;22,434;19,813;88,6;89,63;89,713;16,979;18,653;18,653;-0,241;-0,144;-0,134
761002;21;96,268;96,711;23,023;22,36;97,36;97,945;95,941;25,03;23,268;21,978;0,099;0,101;-0,07
762002;24;86,662;85,932;24,465;30,203;91,619;91,544;87,072;31,339;30,198;29,057;0,382;0,355;0,093
762003;15;92,278;93,099;20,492;18,328;91,139;92,34;92,115;17,857;17,791;17,704;-0,132;-0,078;-0,104
763001;35;51,026;50,877;38,728;39,239;54,278;56,311;49,84;44,301;43,702;38,554;0,17;0,245;-0,052
764003;21;86,159;85,975;23,847;24,822;84,596;85,764;85,324;20,132;24,797;24,93;-0,158;-0,015;-0,051
765000;37;95,741;95,76;21,749;22,545;97,697;98,371;95,851;25,064;24,118;22,569;0,181;0,21;0,008
