Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
152001;31;79,872;80,361;23,973;22,036;79,195;79,011;79,032;22,51;20,914;20,925;-0,064;-0,118;-0,116
152005;30;88,346;88,617;25,336;25,485;89,597;90,104;88,272;27,626;26,358;25,386;0,103;0,106;-0,028
152006;26;61,897;62,288;18,036;16,905;61,824;61,703;61,418;17,887;16,449;16,282;-0,009;-0,064;-0,098
153000;37;78,516;79,21;28,394;24,621;75,948;76,543;77,01;21,82;22,193;22,348;-0,23;-0,208;-0,162
154000;37;77,7;78,121;22,659;20,974;77,037;77,01;76,934;21,224;20,073;20,031;-0,067;-0,102;-0,11
154001;43;76,23;76,453;22,446;21,366;74,4;75,823;75,663;17,891;21,082;21,094;-0,203;-0,055;-0,071
154003;25;78,652;79,112;23,7;22,895;79,43;79,988;78,339;25,171;23,541;22,485;0,069;0,071;-0,068
155000;42;87,248;87,662;23,56;21,875;86,927;86,121;86,255;22,89;20,521;20,614;-0,03;-0,135;-0,122
155002;26;87,657;87,951;22,757;22,559;88,474;88,687;87,387;24,294;23,012;22,349;0,076;0,06;-0,05
156000;29;84,194;84,95;30,09;25,316;80,611;82,395;82,674;19,898;23,05;22,999;-0,329;-0,187;-0,156
157000;37;94,669;94,86;23,362;23,097;93,957;95,062;94,396;21,816;23,203;22,968;-0,07;0,016;-0,041
157001;19;74,347;74,919;19,13;17,411;73,895;73,79;73,833;18,163;16,458;16,486;-0,053;-0,122;-0,117
157002;26;80,735;79,61;17,291;21,867;80,779;80,64;79,881;17,38;21,703;21,691;0,006;0,084;0,026
158003;18;98,192;98,875;22,651;18,901;95,785;96,045;97,017;16,142;15,821;16,274;-0,282;-0,313;-0,175
160000;23;83,044;83,397;14,341;13,461;82,699;83,183;82,815;13,602;13,312;13,135;-0,054;-0,03;-0,086
161002;40;81,681;81,925;18,509;18,069;81,855;82,254;81,505;18,854;18,284;17,87;0,02;0,034;-0,046
162000;42;89,993;90,167;25,632;25,133;89,684;90,099;89,473;24,99;25,092;24,815;-0,027;-0,005;-0,054
162002;33;84,681;85,231;25,484;23,509;84,098;83,713;83,762;24,24;22,224;22,255;-0,052;-0,122;-0,118
165000;30;63,074;62,544;23,838;27,237;66,516;65,919;63,228;29,124;28,122;27,057;0,281;0,226;0,054
166000;46;97,449;97,772;23,483;21,993;97,258;96,156;96,313;23,089;20,577;20,687;-0,018;-0,139;-0,124
169000;27;87,637;88,035;23,497;22,862;87,539;88,271;87,402;23,298;22,999;22,643;-0,009;0,019;-0,056
239001;31;83,831;84,51;28,348;25,922;82,46;83,084;83,007;25,239;24,828;24,794;-0,113;-0,104;-0,11
240002;46;77,143;77,15;27,354;28,276;79,263;79,53;77,381;31,031;29,664;28,344;0,158;0,154;0,017
240007;48;75,133;75,595;28,431;26,692;74,951;74,308;74,119;28,058;25,609;25,48;-0,014;-0,091;-0,106
240009;42;77,976;78,699;32,281;28,979;76,529;74,815;76,126;29,024;25,253;26,197;-0,105;-0,266;-0,164
240010;21;72,588;72,907;23,532;23,726;74,955;76,413;72,447;27,466;26,098;23,602;0,201;0,267;-0,041
240012;32;74,716;75,02;27,161;26,867;74,809;75,782;74,475;27,349;27,313;26,685;0,007;0,053;-0,041
240013;22;60,697;60,799;23,929;25,304;63,097;64,058;60,733;27,92;26,802;25,308;0,201;0,235;-0,006
240015;16;74,197;74,243;24,844;27,33;77,831;78,852;74,202;30,407;28,766;27,349;0,284;0,311;-0,003
242002;36;76,94;76,951;23,482;24,31;78,32;78,603;76,907;25,962;25,182;24,3;0,121;0,125;-0,004
244006;66;102,976;103,285;31,228;29,934;103,055;102,302;101,931;31,386;29,159;28,923;0,005;-0,061;-0,086
244011;28;88,592;88,381;22,536;24,754;91,929;93,319;88,812;27,628;27,046;24,707;0,287;0,364;0,038
244012;27;87,26;87,809;24,177;22,715;86,903;87,293;86,784;23,43;22,343;22,082;-0,033;-0,042;-0,088
245001;47;82,268;82,226;19,721;20,573;84,183;84,714;82,549;22,925;22,075;20,669;0,195;0,219;0,032
245003;42;76,26;76,553;19,82;18,784;76,323;75,989;75,64;19,946;18,317;18,079;0,007;-0,057;-0,094
245007;37;70,95;70,994;22,122;23,203;71,277;72,24;71,125;22,766;23,603;23,195;0,032;0,101;0,012
